"%1 is enabled for checkout. This may lead to duplicated rates in checkout.","%1 ist für den Checkout aktiviert. Dies kann zur mehrfachen Anzeige derselben Versandkosten führen."
"%1 provides rates for DHL Parcel Germany.","%1 stellt Versandkosten für DHL Paket bereit."
"%1DHL Parcel Germany%2 is an ideal complement to the AUTOCOMPLETE and ADDRESSFACTORY services of Deutsche Post Direkt.","%1DHL Paket%2 ist eine ideale Ergänzung zu den Services AUTOCOMPLETE und ADDRESSFACTORY der Deutschen Post Direkt."
"--Please Select--","--Bitte wählen--"
Warnings,Warnungen
"Web service credentials are configured.","Webservice-Zugangsdaten sind konfiguriert."
"Web service credentials are incomplete. Please review your %1.","Webservice-Zugangsdaten sind unvollständig. Bitte prüfen Sie die %1."
"Web service error: %1 Please review your %2.","Webservice-Fehler: %1 Bitte prüfen Sie die %2"
"Web service request could not be created: %1","Die Webservice-Anfrage konnte nicht erstellt werden: %1"
Wed,Mi
"When choosing drop-off delivery, then your e-mail address will be sent to DHL to notify about the delivery location. The e-mail address will exclusively be used for the announcement of this shipment.","Bei Wahl der Droppoint-Zustellung wird Ihre E-Mail-Adresse an DHL übermittelt, um Sie über den Ort der Zustellung zu informieren. Die E-Mail-Adresse wird ausschließlich für die Bearbeitung dieser Sendung verwendet."
"Would you like to individualize the DHL parcel announcement?","Möchten Sie die DHL Paketankündigung individualisieren?"
"You can now display your logo and the desired store name in the parcel notification. Use the following <a href=""https://www.dhl.de/de/geschaeftskunden/paket/versandsoftware/dhl-paketankuendigung/formular.html"" target=""_blank"">form</a> to do so.","Sie können ab sofort Ihr Logo und den gewünschten Shop-Namen in der Paketankündigung anzeigen lassen. Nutzen Sie dafür das folgende <a href=""https://www.dhl.de/de/geschaeftskunden/paket/versandsoftware/dhl-paketankuendigung/formular.html"" target=""_blank"">Formular</a>."
"You decide when and where you want to receive your parcels with the recipient services of DHL.","Mit den Services von DHL-Wunschzustellung entscheiden Sie, wann und wo Sie Ihre Pakete empfangen."
"You must also have Magento general logging enabled.","Die allgemeine Protokollierung muss in Magento aktiviert sein, damit die modulspezifische Protokollierung funktioniert."
"You must enter your DHL post number when sending it to a DHL parcel station. For DHL postal outlet or parcel shop delivery, the DHL post number is optional.","Sie müssen Ihre DHL Postnummer für den Versand an eine DHL Packstation angeben. Für den Versand an einen DHL Paketshop oder eine Postfiliale ist diese optional."
"You need to have a valid DHL Paket business account number (EKP)","Sie brauchen eine gültige DHL Paket Geschäftskundennummer (EKP)"
"Your e-mail address will be sent to DHL upon enabling, after which DHL will trigger a package announcement for your shipment. The e-mail address will exclusively be used for the announcement of this shipment.","Ihre E-Mail-Adresse wird nach der Aktivierung an DHL gesendet. Danach löst DHL eine Paketankündigung für Ihre Sendung aus. Die E-Mail-Adresse wird ausschließlich für die Bearbeitung dieser Sendung verwendet."
"Your personal post number","Ihre persönliche Postnummer"
dhl.support@netresearch.de,dhl.support@netresearch.de
https://www.dhl.de/en/geschaeftskunden/paket/kunde-werden/angebot-dhl-geschaeftskunden-online.html?source=magento&cid=c_dhloka_de_magento,https://www.dhl.de/dhl-kundewerden?source=magento&cid=c_dhloka_de_magento
none,keiner
